MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind
0.212548816,0.646225021,0.106481007,0.327483697
0.2946111,0.620759078,0.406656865,0.308397933
0.327108382,0.567877801,0.640083086,0.220165868
0.457883313,0.506859995,0.785355415,0.190441844
0.538987567,0.5207253,0.831091412,0.217633635
0.617079709,0.532768797,0.822522781,0.28368829
0.719030986,0.542890404,0.812983906,0.296662793
0.790705886,0.566088948,0.825358961,0.363564527
0.793222798,0.603889235,0.833386824,0.449385139
0.688922945,0.619033929,0.808542788,0.490719417
0.597611483,0.634443263,0.742525879,0.468243771
0.489174065,0.637860192,0.637140856,0.437791336
0.353747058,0.623412712,0.462360114,0.436829681
0.094855553,0.552824483,0.14804645,0.535304635
0.000245221,0.442221833,0.00365334,0.554231825
0,0.425290248,0,0.545687799
0,0.43120697,0,0.460844248
0,0.428063059,0,0.348569936
0,0.416692912,0,0.168579669
0,0.39299724,0,0.148140865
0,0.354316215,0,0.106259204
0,0.290889147,0,0.095760056
0,0.248824019,0,0.088300118
0.015546761,0.211535152,0.001177021,0.084985594
0.109755211,0.164672719,0.117459374,0.052782609
0.283692064,0.137646081,0.480251884,0.023786352
0.552272161,0.066691812,0.723391085,0.013593932
0.801257372,0.016227958,0.814885063,0.009333209
0.857674382,0.01102667,0.852042318,0.01806797
0.875166949,0.013045421,0.845266751,0.052262877
0.873236926,0.017378987,0.812970052,0.085917463
0.869635038,0.029779489,0.802585002,0.147430731
0.866064809,0.050894295,0.805583958,0.245486643
0.85518358,0.061067287,0.769928272,0.329640227
0.815419787,0.076895996,0.695594189,0.431598208
0.738928511,0.083638257,0.578120378,0.501573789
0.487702423,0.083743646,0.381059871,0.504540339
0.113463687,0.073162528,0.095540804,0.559407118
0.000933042,0.075704434,0.001190483,0.639785087
0,0.100157164,0,0.571260217
0,0.092629887,0,0.570986916
0,0.091580396,0,0.602538368
0,0.090413778,0,0.622862139
0,0.089802051,0,0.632503776
0,0.093822294,0,0.48841537
0,0.10609463,0,0.111074182
0,0.095806148,0,0.08500024
0.012538066,0.092855619,0.002258229,0.088289633
0.099550902,0.095944188,0.138024731,0.132103558
0.098782087,0.109751409,0.456617981,0.153812118
0.174036764,0.107317062,0.716570477,0.103343327
0.359444699,0.031584668,0.792376226,0.074205126
0.608456556,0.027392941,0.803401616,0.092872219
0.693011285,0.041442789,0.744353858,0.158611174
0.699607162,0.058648245,0.732433177,0.219949753
0.664195685,0.068415571,0.710146406,0.308581078
0.677973487,0.082384904,0.729415605,0.402306116
0.655766935,0.104000643,0.754716905,0.535962625
0.710985513,0.124698159,0.751642147,0.56549059
0.683797864,0.144217,0.731000605,0.518658465
0.446939335,0.185446963,0.586844914,0.488023463
0.107745964,0.231898837,0.205603132,0.421557318
0.000951379,0.31890553,0.007440508,0.467335462
0,0.475100813,0,0.443459231
0,0.553515913,0,0.42159032
0,0.598167829,0,0.449621407
0,0.623982087,0,0.414028733
0,0.63053959,0,0.428213138
0,0.612392091,0,0.410366948
0,0.57761369,0,0.414810425
0,0.52490938,0,0.41382493
0.007200502,0.454115958,0.002244144,0.378783183
0.1084256,0.378982247,0.114776046,0.37259108
0.23619979,0.295312479,0.336519091,0.339086739
0.388836733,0.174262731,0.459386117,0.261662121
0.52790546,0.05514048,0.592630842,0.246697465
0.659705425,0.062076034,0.684368768,0.259367906
0.726992054,0.10656502,0.745233803,0.282006918
0.719558594,0.182326775,0.775856499,0.324666419
0.684389327,0.234245168,0.785308519,0.38067808
0.702725736,0.239197932,0.789052687,0.423254068
0.707806138,0.234985023,0.776188184,0.471892358
0.689107582,0.229813657,0.767442398,0.496619826
0.684079418,0.215890804,0.70312133,0.501044195
0.506794637,0.207704669,0.52705989,0.50271924
0.134231584,0.201834803,0.174597516,0.469344334
0.001719642,0.237655521,0.005716523,0.539372343
0,0.313341396,0,0.58012302
0,0.345553181,0,0.580296985
0,0.346925059,0,0.515079892
0,0.348124583,0,0.516289075
0,0.366107742,0,0.524027466
0,0.24770739,0,0.594800427
0,0.227344914,0,0.655020365
0,0.229010351,0,0.679908291
0,0.23811691,0,0.708859833
0,0.231398225,0,0.725868003
0,0.248671525,0,0.727182083
0.0303951,0.263748159,0.007486012,0.724067729
0.166174183,0.266057996,0.075735477,0.718902649
0.197001802,0.247797703,0.104166735,0.69814592
0.174804742,0.198037815,0.13389279,0.639303976
0.161286629,0.166013213,0.17257851,0.541968845
0.160953616,0.136233358,0.19931469,0.457971975
0.143837448,0.109242124,0.263405954,0.353003323
0.163583138,0.089472894,0.338428135,0.253300413
0.0935632,0.082637538,0.271167154,0.117251622
0.003285312,0.077357308,0.038421792,0.038524945
0,0.083375583,0,0.097686621
0,0.124060392,0,0.280379368
0,0.148141002,0,0.472690658
0,0.134288092,0,0.602668519
0,0.10758348,0,0.687039709
