elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
13787.0,36419.0,11188.0,4256.0,2564.0,3270.0,5450.0,7406.0,6449.0,12391.0,2678.0
15073.0,38639.0,12343.0,4802.0,2909.0,3492.0,5795.0,8081.0,7301.0,13531.0,2847.0
15865.0,44241.0,13457.0,5251.0,3120.0,3782.0,6351.0,9270.0,8117.0,15575.0,3028.0
15536.0,50891.0,13499.0,5413.0,3135.0,3846.0,6805.0,10211.0,8150.0,17192.0,3145.0
14804.0,56322.0,13184.0,5374.0,3060.0,3838.0,7205.0,10562.0,8035.0,17785.0,3183.0
14020.0,57908.0,12614.0,5256.0,2962.0,3713.0,7374.0,10579.0,7877.0,17698.0,3180.0
13392.0,56128.0,12302.0,5128.0,2882.0,3641.0,7204.0,10474.0,7700.0,17302.0,3163.0
13361.0,54179.0,12117.0,5038.0,2854.0,3592.0,6910.0,10127.0,7560.0,16671.0,3138.0
12719.0,53390.0,12011.0,4980.0,2803.0,3512.0,6718.0,9964.0,7448.0,16300.0,3146.0
12771.0,52803.0,12238.0,4965.0,2857.0,3522.0,6593.0,9858.0,7401.0,16060.0,3191.0
13083.0,51914.0,12731.0,5066.0,3001.0,3477.0,6489.0,9684.0,7529.0,15754.0,3168.0
14060.0,53354.0,13841.0,5317.0,3238.0,3600.0,6576.0,9794.0,7862.0,15950.0,3220.0
15577.0,55740.0,14785.0,5637.0,3432.0,3881.0,6875.0,10213.0,8335.0,16813.0,3375.0
15799.0,61910.0,14775.0,5698.0,3395.0,3903.0,7562.0,11063.0,8340.0,18335.0,3353.0
26145.0,80671.0,14596.0,6412.0,3072.0,4005.0,11692.0,10699.0,9090.0,17419.0,3100.0
24170.0,79418.0,13740.0,6073.0,2782.0,3653.0,11380.0,10716.0,8354.0,17352.0,2987.0
21913.0,76512.0,12660.0,5582.0,2549.0,3336.0,10809.0,10184.0,7593.0,16830.0,2829.0
19741.0,70330.0,11462.0,5053.0,2337.0,3079.0,9996.0,9390.0,6942.0,15693.0,2685.0
18022.0,63444.0,10337.0,4522.0,2130.0,2844.0,9011.0,8599.0,6261.0,14360.0,2570.0
16766.0,56026.0,9534.0,4180.0,1980.0,2712.0,8074.0,7856.0,5864.0,12922.0,2466.0
15688.0,49328.0,8902.0,3916.0,1900.0,2626.0,7274.0,7212.0,5583.0,11798.0,2376.0
14842.0,44315.0,8460.0,3752.0,1832.0,2557.0,6582.0,6784.0,5366.0,11033.0,2294.0
14715.0,41008.0,8306.0,3670.0,1848.0,2599.0,6133.0,6533.0,5395.0,10538.0,2313.0
15075.0,38705.0,8631.0,3741.0,1985.0,2728.0,5839.0,6473.0,5633.0,10297.0,2376.0
15797.0,38352.0,9364.0,3990.0,2162.0,2920.0,5738.0,6743.0,6100.0,10585.0,2442.0
17384.0,40349.0,10283.0,4386.0,2375.0,3192.0,5810.0,7215.0,6583.0,11231.0,2520.0
19309.0,45052.0,11433.0,4836.0,2619.0,3512.0,6085.0,7874.0,7467.0,12480.0,2740.0
20848.0,51684.0,11948.0,5124.0,2689.0,3685.0,6715.0,8807.0,7845.0,13922.0,2764.0
22099.0,59388.0,12216.0,5222.0,2699.0,3753.0,7447.0,9569.0,8017.0,15235.0,2797.0
23130.0,62494.0,12379.0,5278.0,2697.0,3808.0,8081.0,9819.0,8096.0,15503.0,2791.0
24041.0,63207.0,12876.0,5416.0,2828.0,3908.0,8446.0,9737.0,8430.0,15326.0,2824.0
25170.0,64395.0,13313.0,5573.0,2902.0,4000.0,8897.0,9761.0,8777.0,15161.0,2832.0
25933.0,66840.0,13653.0,5747.0,2983.0,4078.0,9479.0,9843.0,8901.0,15243.0,2882.0
26818.0,69599.0,14243.0,5959.0,3109.0,4181.0,10029.0,9967.0,9180.0,15400.0,2986.0
27726.0,72118.0,14790.0,6208.0,3197.0,4247.0,10673.0,9938.0,9386.0,15406.0,3059.0
28468.0,76291.0,15248.0,6401.0,3259.0,4273.0,11130.0,10019.0,9547.0,15605.0,3078.0
28499.0,79665.0,15593.0,6538.0,3335.0,4287.0,11721.0,10150.0,9692.0,15965.0,3159.0
27998.0,82783.0,15445.0,6567.0,3268.0,4247.0,12055.0,10296.0,9560.0,16412.0,3163.0
26462.0,84864.0,14972.0,6397.0,3115.0,3996.0,12125.0,10446.0,9227.0,16752.0,3101.0
24364.0,83748.0,14022.0,6062.0,2862.0,3642.0,11880.0,10449.0,8473.0,16723.0,2986.0
21982.0,80977.0,12924.0,5561.0,2595.0,3330.0,11372.0,9979.0,7742.0,16248.0,2857.0
19974.0,74755.0,11708.0,5037.0,2358.0,3065.0,10425.0,9192.0,7128.0,15184.0,2674.0
17861.0,67414.0,10610.0,4539.0,2139.0,2831.0,9625.0,8439.0,6414.0,13944.0,2587.0
16691.0,59338.0,9729.0,4148.0,2034.0,2679.0,8686.0,7693.0,5966.0,12668.0,2493.0
15737.0,52200.0,9154.0,3903.0,1928.0,2592.0,7649.0,7052.0,5669.0,11542.0,2442.0
14996.0,47579.0,8675.0,3741.0,1881.0,2543.0,7033.0,6664.0,5475.0,10842.0,2333.0
14498.0,44027.0,8502.0,3653.0,1907.0,2576.0,6488.0,6484.0,5492.0,10495.0,2333.0
14739.0,41424.0,8828.0,3740.0,2051.0,2704.0,6167.0,6453.0,5727.0,10294.0,2384.0
15394.0,40877.0,9627.0,3996.0,2221.0,2860.0,6087.0,6690.0,6141.0,10485.0,2465.0
16854.0,42321.0,10496.0,4410.0,2424.0,3135.0,6066.0,7260.0,6776.0,11268.0,2578.0
18579.0,46882.0,11597.0,4844.0,2655.0,3461.0,6382.0,7907.0,7555.0,12514.0,2747.0
19891.0,53876.0,12190.0,5068.0,2739.0,3621.0,7016.0,8771.0,7873.0,13936.0,2785.0
20936.0,61704.0,12406.0,5113.0,2738.0,3703.0,7816.0,9524.0,8002.0,15158.0,2827.0
21739.0,64826.0,12585.0,5105.0,2741.0,3768.0,8542.0,9706.0,8100.0,15364.0,2804.0
22559.0,65847.0,12941.0,5147.0,2761.0,3880.0,9170.0,9663.0,8296.0,15200.0,2827.0
23666.0,66818.0,13334.0,5258.0,2813.0,3989.0,9608.0,9571.0,8525.0,14944.0,2819.0
24603.0,69261.0,13530.0,5324.0,2865.0,4052.0,10090.0,9662.0,8673.0,15073.0,2869.0
25647.0,72231.0,14193.0,5459.0,2918.0,4171.0,10501.0,9747.0,8888.0,15145.0,2932.0
26519.0,74786.0,14863.0,5649.0,2983.0,4219.0,10701.0,9748.0,9126.0,15133.0,3040.0
27051.0,78713.0,15514.0,5835.0,3053.0,4268.0,11034.0,9902.0,9281.0,15434.0,3050.0
27318.0,82102.0,15942.0,6002.0,3124.0,4290.0,11347.0,10021.0,9404.0,15799.0,3104.0
26949.0,85208.0,15776.0,5987.0,3093.0,4246.0,11664.0,10230.0,9202.0,16323.0,3096.0
25629.0,87235.0,15270.0,5866.0,2946.0,3977.0,11536.0,10453.0,8866.0,16765.0,3021.0
23548.0,85655.0,14331.0,5629.0,2733.0,3640.0,11003.0,10549.0,8222.0,16915.0,2927.0
21430.0,82275.0,13100.0,5230.0,2487.0,3329.0,10594.0,10099.0,7470.0,16503.0,2765.0
19657.0,75732.0,11877.0,4758.0,2254.0,3059.0,10056.0,9339.0,6851.0,15410.0,2627.0
17737.0,67985.0,10554.0,4342.0,2064.0,2814.0,9216.0,8533.0,6178.0,14068.0,2494.0
16389.0,59968.0,9803.0,4018.0,1935.0,2665.0,8434.0,7825.0,5745.0,12850.0,2416.0
15311.0,52720.0,9181.0,3815.0,1849.0,2591.0,7606.0,7177.0,5459.0,11676.0,2327.0
14715.0,47568.0,8710.0,3679.0,1806.0,2540.0,6987.0,6741.0,5231.0,10967.0,2260.0
14376.0,44203.0,8536.0,3615.0,1852.0,2587.0,6562.0,6523.0,5267.0,10507.0,2234.0
14644.0,41737.0,8804.0,3694.0,1971.0,2698.0,6258.0,6443.0,5580.0,10332.0,2335.0
15323.0,40980.0,9607.0,3993.0,2158.0,2864.0,6118.0,6731.0,6087.0,10539.0,2428.0
16848.0,42389.0,10527.0,4433.0,2384.0,3157.0,6286.0,7271.0,6588.0,11285.0,2524.0
18494.0,47148.0,11701.0,4811.0,2589.0,3487.0,6643.0,7927.0,7154.0,12537.0,2641.0
19670.0,54090.0,12112.0,5021.0,2615.0,3629.0,7312.0,8711.0,7407.0,13927.0,2655.0
20496.0,61670.0,12283.0,5011.0,2557.0,3704.0,8146.0,9448.0,7462.0,15205.0,2653.0
21041.0,65126.0,12448.0,5029.0,2521.0,3802.0,8736.0,9688.0,7551.0,15478.0,2662.0
21680.0,66065.0,12756.0,5077.0,2557.0,3884.0,9117.0,9556.0,7757.0,15197.0,2692.0
22526.0,67042.0,13161.0,5174.0,2597.0,3983.0,9505.0,9490.0,8033.0,15002.0,2706.0
23504.0,69219.0,13443.0,5252.0,2643.0,4036.0,9800.0,9624.0,8175.0,15020.0,2768.0
24392.0,71926.0,13934.0,5438.0,2768.0,4143.0,10161.0,9738.0,8523.0,15160.0,2842.0
25143.0,73709.0,14183.0,5669.0,2853.0,4213.0,10182.0,9795.0,8731.0,15178.0,2922.0
25518.0,76137.0,14474.0,5886.0,2946.0,4238.0,10192.0,9953.0,8841.0,15519.0,2918.0
25435.0,78123.0,14757.0,6096.0,3031.0,4268.0,10271.0,10096.0,8927.0,15963.0,2948.0
25243.0,80546.0,14565.0,6119.0,3006.0,4230.0,10257.0,10289.0,8814.0,16490.0,2986.0
24176.0,82816.0,14161.0,5964.0,2879.0,3955.0,10216.0,10468.0,8464.0,16932.0,2922.0
22522.0,82210.0,13310.0,5712.0,2683.0,3627.0,10178.0,10514.0,7870.0,17024.0,2832.0
20541.0,79008.0,12169.0,5320.0,2454.0,3304.0,9791.0,10070.0,7236.0,16528.0,2694.0
18656.0,72931.0,11107.0,4842.0,2251.0,3041.0,9344.0,9364.0,6622.0,15524.0,2552.0
16821.0,65590.0,10004.0,4381.0,2032.0,2838.0,8688.0,8523.0,5960.0,14177.0,2436.0
15582.0,57852.0,9232.0,4083.0,1909.0,2668.0,8025.0,7754.0,5560.0,12855.0,2343.0
14726.0,50269.0,8688.0,3852.0,1829.0,2582.0,7238.0,7065.0,5305.0,11507.0,2276.0
